input_text	target_text
▁poa ▁banatanwe ▁a ▁poa ▁bana ▁x oi hon ▁poa ▁a ▁ma ▁x oi a ▁ka	▁poa ▁banatanwe ▁a ▁poa ▁bana ▁x oi hon ▁poa ▁a ▁ma ▁x oi a ▁ka
▁a ▁banakin	▁a ▁banakin
▁ma ▁basi resi	▁ma ▁basi resi
▁hainoa ▁ka	▁hainoa ▁ka
▁a ▁heki	▁a ▁heki
▁heki ▁banatanwe ▁nato ▁banatanwe	▁heki ▁banatanwe ▁nato ▁banatanwe
▁menia ▁iki	▁menia ▁iki
▁meni aki ▁a ▁heki	▁meni aki ▁a ▁heki
▁heki ▁toban hon ▁toban	▁heki ▁toban hon ▁toban
▁toban hon	▁toban hon
▁ha ▁menia ▁nato ▁banatanwe ▁a ▁ka ▁heki ▁banai	▁ha ▁menia ▁nato ▁banatanwe ▁a ▁ka ▁heki ▁banai
▁onkonyamai	▁onkonyamai
▁onkoin	▁onkoin
▁ara ▁onkonyamai	▁ara ▁onkonyamai
▁askati ▁ka	▁askati ▁ka
▁askati ronki ▁ka ▁iki ▁ha	▁askati ronki ▁ka ▁iki ▁ha
▁westiora ▁is á shoko	▁westiora ▁is á shoko
▁hainronki ▁atsa ▁taho ▁hon eke ▁a ▁i sa kan	▁hainronki ▁atsa ▁taho ▁hon eke ▁a ▁i sa kan
▁atsa ▁taho ▁bohon a rokoki	▁atsa ▁taho ▁bohon a rokoki
▁hainronki ▁atsa ▁banake	▁hainronki ▁atsa ▁banake
▁atsa ▁banake ▁ha	▁atsa ▁banake ▁ha
▁ha ▁pota ▁atsa ▁banake ▁hakonshaman ▁onkon i ▁hakonshaman	▁ha ▁pota ▁atsa ▁banake ▁hakonshaman ▁onkon i ▁hakonshaman
▁ha ▁riki ▁ha ▁ahon ▁ka ▁ha ▁awati	▁ha ▁riki ▁ha ▁ahon ▁ka ▁ha ▁awati
▁awati	▁awati
▁ani ▁ani ▁ani	▁ani ▁ani ▁ani
▁atsa ▁banake	▁atsa ▁banake
▁ani ▁ahon ▁ikai ▁hainoah ▁ma ▁atsa ▁kai a	▁ani ▁ahon ▁ikai ▁hainoah ▁ma ▁atsa ▁kai a
▁haska tiki ▁ikebi ▁noa ▁yoashi ▁yoashi ▁bakebo	▁haska tiki ▁ikebi ▁noa ▁yoashi ▁yoashi ▁bakebo
▁yoashi ▁bakebo ▁noa ▁paran hon ▁noa ▁haska ▁ake ni	▁yoashi ▁bakebo ▁noa ▁paran hon ▁noa ▁haska ▁ake ni
▁rete ti ▁riki ▁ka ▁rete ti riki ▁ka ▁retenon ▁bo kanwe	▁rete ti ▁riki ▁ka ▁rete ti riki ▁ka ▁retenon ▁bo kanwe
▁ret eno hon ▁kabiti ▁akanwe ▁kabiti ▁akanwe ▁f le cha	▁ret eno hon ▁kabiti ▁akanwe ▁kabiti ▁akanwe ▁f le cha
▁haka ▁ma tan	▁haka ▁ma tan
▁kabiti ▁akanwe ▁a ▁ahon ke ▁a	▁kabiti ▁akanwe ▁a ▁ahon ke ▁a
▁a ▁retei ▁bokanke ▁retei ▁ka	▁a ▁retei ▁bokanke ▁retei ▁ka
▁retei ▁bohonki ▁a ▁retei ▁boa biki ▁ha	▁retei ▁bohonki ▁a ▁retei ▁boa biki ▁ha
▁a ▁noko ti ▁kabiti oma	▁a ▁noko ti ▁kabiti oma
▁kabiti oma ▁moxa ▁icha ▁moxa ▁icha ▁oinwe ▁ha ▁oni	▁kabiti oma ▁moxa ▁icha ▁moxa ▁icha ▁oinwe ▁ha ▁oni
▁neskara ▁moxa	▁neskara ▁moxa
▁hainhon ronki ▁aka ▁iki ▁ha	▁hainhon ronki ▁aka ▁iki ▁ha
▁a ▁oini ▁ka	▁a ▁oini ▁ka
▁awá	▁awá
▁awá ▁yoihontanwe	▁awá ▁yoihontanwe
▁ha ▁ohonronki ki ▁a	▁ha ▁ohonronki ki ▁a
▁ha ▁ohonronki ki ▁a ▁xate ama bobi ▁awá	▁ha ▁ohonronki ki ▁a ▁xate ama bobi ▁awá
▁ta be maka resi	▁ta be maka resi
▁ainoah ▁chaho ▁chaho ▁yoihontanwe	▁ainoah ▁chaho ▁chaho ▁yoihontanwe
▁chaho ▁ayamai	▁chaho ▁ayamai
▁ain ohon ▁hono ▁hono ▁yoihontanwe	▁ain ohon ▁hono ▁hono ▁yoihontanwe
▁a ▁xate yamai	▁a ▁xate yamai
▁haska ke ▁yoiki	▁haska ke ▁yoiki
▁ene ▁shirinwa	▁ene ▁shirinwa
▁ene ▁shirinwa ▁yoihon tankin	▁ene ▁shirinwa ▁yoihon tankin
▁a ▁ene ▁shirinwa ▁oke	▁a ▁ene ▁shirinwa ▁oke
▁ohonronki ▁a ▁ka ▁iki ▁a	▁ohonronki ▁a ▁ka ▁iki ▁a
▁i gu al ▁al ▁ma ch e te	▁i gu al ▁al ▁ma ch e te
▁hara ▁ha ▁wainko ▁wainko ▁pikoke	▁hara ▁ha ▁wainko ▁wainko ▁pikoke
▁a ▁wainko ▁pikoke ▁a ▁wai ▁wai hontanwe ▁a ▁pikota ▁iki ▁ene ▁shirinwa ▁kake	▁a ▁wainko ▁pikoke ▁a ▁wai ▁wai hontanwe ▁a ▁pikota ▁iki ▁ene ▁shirinwa ▁kake
▁hainki ▁bokanke	▁hainki ▁bokanke
▁bohonki ▁ha ▁icha ▁honi	▁bohonki ▁ha ▁icha ▁honi
▁icha ▁honi ▁bokana ▁retei ▁bokana ▁pianki	▁icha ▁honi ▁bokana ▁retei ▁bokana ▁pianki
▁ha ▁ati ▁bohonki ▁a ▁tan kana ▁habira ▁kan i ▁ka	▁ha ▁ati ▁bohonki ▁a ▁tan kana ▁habira ▁kan i ▁ka
▁habira ▁aka ▁iki ▁ha	▁habira ▁aka ▁iki ▁ha
▁ainki ▁ma ▁in kin kana ▁ha ▁a ▁xobo ▁a ▁xobo ▁mena ▁in kin kana	▁ainki ▁ma ▁in kin kana ▁ha ▁a ▁xobo ▁a ▁xobo ▁mena ▁in kin kana
▁h iki ▁kahon ▁riki ▁a	▁h iki ▁kahon ▁riki ▁a
▁aronki ▁ha ▁oni ▁pian ▁tsaka ke	▁aronki ▁ha ▁oni ▁pian ▁tsaka ke
▁pian ▁a pake kin a	▁pian ▁a pake kin a
▁atibi ▁marei	▁atibi ▁marei
▁a ▁wino ▁wino ▁wino	▁a ▁wino ▁wino ▁wino
▁wino	▁wino
▁a ▁riki ▁honi ▁mare kin ▁toh ▁toh ▁toh	▁a ▁riki ▁honi ▁mare kin ▁toh ▁toh ▁toh
▁ati biri ▁ashi	▁ati biri ▁ashi
▁a ▁honi ▁chachi ti	▁a ▁honi ▁chachi ti
▁a ▁riki ▁cha ▁cha	▁a ▁riki ▁cha ▁cha
▁atian ▁a ▁keyoke	▁atian ▁a ▁keyoke
▁a ▁keyo hon ronki ▁ha	▁a ▁keyo hon ronki ▁ha
▁paranti ▁ka ▁paranti ▁ta ko bo ▁bi ke ▁ha ▁poa	▁paranti ▁ka ▁paranti ▁ta ko bo ▁bi ke ▁ha ▁poa
▁a ▁keyo hon ronki ▁ha ▁paranti bo ▁banake ▁atsa ▁poa ▁banake	▁a ▁keyo hon ronki ▁ha ▁paranti bo ▁banake ▁atsa ▁poa ▁banake
▁ainoa ronki ▁honi ▁be kan koin	▁ainoa ronki ▁honi ▁be kan koin
▁ma ▁keyo beran ▁be kani ▁ka	▁ma ▁keyo beran ▁be kani ▁ka
▁ainoah ▁westiora ▁bea	▁ainoah ▁westiora ▁bea
▁westiora ▁oni ▁ika ▁iki ▁chai	▁westiora ▁oni ▁ika ▁iki ▁chai
▁chai	▁chai
▁mira ▁bi chi ▁beno kain ai	▁mira ▁bi chi ▁beno kain ai
▁ne ribi ▁biwi	▁ne ribi ▁biwi
▁ne ribi ▁biwi ▁ma	▁ne ribi ▁biwi ▁ma
▁ma ▁biwi kaini ▁ka ▁biwi ▁shi hui	▁ma ▁biwi kaini ▁ka ▁biwi ▁shi hui
▁ma ▁shi hui wa ke	▁ma ▁shi hui wa ke
▁ha res ▁ma ▁oa ▁re re ▁bo chi ki kaini ribi	▁ha res ▁ma ▁oa ▁re re ▁bo chi ki kaini ribi
▁ainoa ▁wetsa ▁ikai	▁ainoa ▁wetsa ▁ikai
▁a ▁wetsaki ▁ikai ▁a	▁a ▁wetsaki ▁ikai ▁a
▁eara ▁shima ▁shima ▁iki	▁eara ▁shima ▁shima ▁iki
▁eara ▁shima ▁shima ▁iki ki	▁eara ▁shima ▁shima ▁iki ki
▁isan ▁to ka ▁isan ▁to	▁isan ▁to ka ▁isan ▁to
▁isan ▁to ▁hain	▁isan ▁to ▁hain
▁ainka ▁epaha ▁bospi a	▁ainka ▁epaha ▁bospi a
▁haki ▁neska hon ▁xeai	▁haki ▁neska hon ▁xeai
▁a ▁bi tan ki ▁neno	▁a ▁bi tan ki ▁neno
▁hun s	▁hun s
▁hae	▁hae
▁ma ▁ha ei ▁o so ▁ho r mi gu ero	▁ma ▁ha ei ▁o so ▁ho r mi gu ero
▁ma ▁hae kaini	▁ma ▁hae kaini
▁hain ▁ain ▁ka ▁oni ▁ka	▁hain ▁ain ▁ka ▁oni ▁ka
▁hain ▁yakata	▁hain ▁yakata
▁ain ▁ka ▁wewa ▁wewa ▁ka ▁wewa	▁ain ▁ka ▁wewa ▁wewa ▁ka ▁wewa
▁wewa roko ▁ikai ▁ka	▁wewa roko ▁ikai ▁ka
▁tois ▁tois ▁tois ▁tois ▁ka	▁tois ▁tois ▁tois ▁tois ▁ka
▁toshi kaini ▁toshi	▁toshi kaini ▁toshi
▁ajá ▁toshi	▁ajá ▁toshi
▁ainoah ▁bawa	▁ainoah ▁bawa
▁cha ▁cha ▁cha ▁cha ▁oa ▁kai ▁ma ▁bawa	▁cha ▁cha ▁cha ▁cha ▁oa ▁kai ▁ma ▁bawa
▁aka ▁wetsaka	▁aka ▁wetsaka
▁aka ▁asin	▁aka ▁asin
▁paka ▁hotobanon ▁paka ▁hotobanon ▁ika ini	▁paka ▁hotobanon ▁paka ▁hotobanon ▁ika ini
▁paka ▁hotobanon ▁ha ▁kai	▁paka ▁hotobanon ▁ha ▁kai
▁chai sh	▁chai sh
▁a ▁ka ▁asin ▁koish ▁koish ▁koish ▁ma ▁pau ji l	▁a ▁ka ▁asin ▁koish ▁koish ▁koish ▁ma ▁pau ji l
▁ehe ▁ajá	▁ehe ▁ajá
▁ika ini ▁ha ▁ka	▁ika ini ▁ha ▁ka
▁wetsaki ▁a ▁mari	▁wetsaki ▁a ▁mari
▁ish á ▁ma ▁mari kaini	▁ish á ▁ma ▁mari kaini
▁a ▁mari	▁a ▁mari
▁atibi ▁a ▁yaka ▁yaka tai ▁ka	▁atibi ▁a ▁yaka ▁yaka tai ▁ka
▁ainka ▁ka	▁ainka ▁ka
▁i tibi ▁ka ▁kai	▁i tibi ▁ka ▁kai
▁hawan	▁hawan
▁hawan ▁ha ▁ha ▁ha ▁ma ▁hawain	▁hawan ▁ha ▁ha ▁ha ▁ma ▁hawain
▁hawain ▁guacamayo	▁hawain ▁guacamayo
▁ma ▁hawain	▁ma ▁hawain
▁hawan kaini ▁kai ▁ha	▁hawan kaini ▁kai ▁ha
▁hatian ▁ma	▁hatian ▁ma
▁o tro ▁g ru po hake ▁ma	▁o tro ▁g ru po hake ▁ma
▁ma ▁yoina yamai ▁haka ma ▁hawekeska tiki ▁mato	▁ma ▁yoina yamai ▁haka ma ▁hawekeska tiki ▁mato
▁mato ▁haska tai ▁eara ▁aska yamai ▁eara ▁aska yamai	▁mato ▁haska tai ▁eara ▁aska yamai ▁eara ▁aska yamai
▁guacamayo ▁ha ▁hakon ▁ma	▁guacamayo ▁ha ▁hakon ▁ma
▁guacamayo ▁ea ma	▁guacamayo ▁ea ma
▁haska tai ▁riki ▁ha	▁haska tai ▁riki ▁ha
▁ha ▁ika ▁iki ▁a	▁ha ▁ika ▁iki ▁a
▁ma ▁kai ▁ha	▁ma ▁kai ▁ha
▁ma ▁yoashi ▁bakebo ▁yoashi ▁honibo ▁ma	▁ma ▁yoashi ▁bakebo ▁yoashi ▁honibo ▁ma
▁ma ▁keyo ▁retea	▁ma ▁keyo ▁retea
▁pian ▁a pake a ▁marepake a	▁pian ▁a pake a ▁marepake a
▁ma ▁yama	▁ma ▁yama
▁ma ▁ka ▁yama ▁ha ▁iki	▁ma ▁ka ▁yama ▁ha ▁iki
▁hainra ▁aka ▁iki ▁ha	▁hainra ▁aka ▁iki ▁ha
▁hatibi ▁ma	▁hatibi ▁ma
▁hainki ▁ma ▁hatibi ▁paranti a ▁paranti a ▁ma ▁hatibi ▁yoa ya	▁hainki ▁ma ▁hatibi ▁paranti a ▁paranti a ▁ma ▁hatibi ▁yoa ya
▁moa ▁wasi	▁moa ▁wasi
▁haskara ▁ihon ▁ma ▁yoishi ▁bakebo	▁haskara ▁ihon ▁ma ▁yoishi ▁bakebo
▁ainoah ▁riki ▁ma ▁keyo ta ▁ainres ▁ajá	▁ainoah ▁riki ▁ma ▁keyo ta ▁ainres ▁ajá
▁westiora ▁ainbo ka	▁westiora ▁ainbo ka
▁westiora ▁ainbo ▁ka ▁iki	▁westiora ▁ainbo ▁ka ▁iki
▁neska raka ▁nato ▁hiwi ▁kahke ▁kahke	▁neska raka ▁nato ▁hiwi ▁kahke ▁kahke
▁kahke ▁kahke ka	▁kahke ▁kahke ka
▁ainki ▁ainbo ▁yakata	▁ainki ▁ainbo ▁yakata
▁ainbo ▁wewa	▁ainbo ▁wewa
▁wewa ka	▁wewa ka
▁wewa ka ▁ainbo ▁wewa	▁wewa ka ▁ainbo ▁wewa
▁lo mb ris ▁gran d eka	▁lo mb ris ▁gran d eka
▁noin ▁ani	▁noin ▁ani
▁noin ▁anika ▁iki ▁ha	▁noin ▁anika ▁iki ▁ha
▁ewan ▁neno ▁neno ▁matso yamawe	▁ewan ▁neno ▁neno ▁matso yamawe
▁mira ▁he w is ▁matso ran ake ▁neno ▁matso yamawe ▁ewan ▁akai	▁mira ▁he w is ▁matso ran ake ▁neno ▁matso yamawe ▁ewan ▁akai
▁haka ▁bene ▁ch ina bi ▁kai	▁haka ▁bene ▁ch ina bi ▁kai
▁kake ki ▁awe ▁tiki ▁nokon ▁bake ▁neno ▁matso tima ▁yoi ai	▁kake ki ▁awe ▁tiki ▁nokon ▁bake ▁neno ▁matso tima ▁yoi ai
▁ha ▁kai ▁ain ▁matsoi ▁ka	▁ha ▁kai ▁ain ▁matsoi ▁ka
▁matsoi tiki ▁ikai ▁iki	▁matsoi tiki ▁ikai ▁iki
▁eah ▁iki ▁nachi	▁eah ▁iki ▁nachi
▁a ▁chi chi ▁mena ka ▁a ▁here ▁mena ▁ikin ▁ea ▁riki ▁nachi	▁a ▁chi chi ▁mena ka ▁a ▁here ▁mena ▁ikin ▁ea ▁riki ▁nachi
▁here ▁mena ▁kai ▁kini ▁mena ▁kai	▁here ▁mena ▁kai ▁kini ▁mena ▁kai
▁noin ▁chota ma ▁riki ▁nokon ▁bake pa ▁awen ▁bene ▁yoi kinka	▁noin ▁chota ma ▁riki ▁nokon ▁bake pa ▁awen ▁bene ▁yoi kinka
▁epaha ▁hanawe ▁akin ▁epaha ▁hana ▁awe ▁ahon ▁ag ua	▁epaha ▁hanawe ▁akin ▁epaha ▁hana ▁awe ▁ahon ▁ag ua
▁epaha ▁hanawe	▁epaha ▁hanawe
▁hatian ▁epaha ▁hanahon ▁ka	▁hatian ▁epaha ▁hanahon ▁ka
▁hatian ▁kini ▁mena ▁kini ▁mena	▁hatian ▁kini ▁mena ▁kini ▁mena
▁epaha ▁na chin ▁kini ▁mena ▁maneke	▁epaha ▁na chin ▁kini ▁mena ▁maneke
▁kini ▁mena ▁maneke	▁kini ▁mena ▁maneke
▁maneke	▁maneke
▁ainoah ▁riki ▁ani ▁noin ▁pikoke ▁lo mb ris ▁gran de ▁ha ▁pikotai	▁ainoah ▁riki ▁ani ▁noin ▁pikoke ▁lo mb ris ▁gran de ▁ha ▁pikotai
▁ain ▁ainbo ka ▁aki ▁ka	▁ain ▁ainbo ka ▁aki ▁ka
▁raka honke	▁raka honke
▁ahonkin ▁a ▁oinon ▁raka honke	▁ahonkin ▁a ▁oinon ▁raka honke
▁a ▁noin ▁mera ke ▁ain bon	▁a ▁noin ▁mera ke ▁ain bon
▁ain ▁noin ▁mawata ▁riki ▁ani ▁noin	▁ain ▁noin ▁mawata ▁riki ▁ani ▁noin
▁mera honka ▁oke	▁mera honka ▁oke
▁noin ▁chota ma ▁riki	▁noin ▁chota ma ▁riki
▁hatianka ▁ha ▁aka	▁hatianka ▁ha ▁aka
▁ha ▁ainbo ▁yantan kan kin	▁ha ▁ainbo ▁yantan kan kin
▁yantan kan kin ▁ne hake ▁ne habo kon ki ▁neska ▁ahon	▁yantan kan kin ▁ne hake ▁ne habo kon ki ▁neska ▁ahon
▁neska honka	▁neska honka
▁mashpi ▁is tibires ▁rakata	▁mashpi ▁is tibires ▁rakata
▁a ▁ne ha honkin ▁ake ▁ha	▁a ▁ne ha honkin ▁ake ▁ha
▁ne ha honkin	▁ne ha honkin
▁ha ▁ainbo ▁banapae ▁banapae ki ▁ha ▁mashpi ▁mena	▁ha ▁ainbo ▁banapae ▁banapae ki ▁ha ▁mashpi ▁mena
▁moaka ▁iki ▁ma ▁to ya ▁ma ▁to ya	▁moaka ▁iki ▁ma ▁to ya ▁ma ▁to ya
▁po tó	▁po tó
▁haki ▁nachi ke	▁haki ▁nachi ke
▁mashpi ▁mena ▁mashpi ▁mena ▁ha	▁mashpi ▁mena ▁mashpi ▁mena ▁ha
▁ha ▁mo ka ▁ha ▁iki ▁banapae ▁banapae ▁ha	▁ha ▁mo ka ▁ha ▁iki ▁banapae ▁banapae ▁ha
▁ha ▁nachi ▁a rokoki ▁ika ▁iki	▁ha ▁nachi ▁a rokoki ▁ika ▁iki
▁nasabain ▁pikoti	▁nasabain ▁pikoti
▁nasabain ka ▁hatibi ▁nasabain	▁nasabain ka ▁hatibi ▁nasabain
▁kamoh	▁kamoh
▁bawa ▁ ron o	▁bawa ▁ ron o
▁hainka ▁nibo	▁hainka ▁nibo
▁pa rá ▁yoina ▁ena ▁ena ▁shipibo ▁nino ▁pa rá ▁yoina	▁pa rá ▁yoina ▁ena ▁ena ▁shipibo ▁nino ▁pa rá ▁yoina
▁hainoah	▁hainoah
▁hea ▁mitsa	▁hea ▁mitsa
▁hainoah ▁ha ▁mashpi ▁mena ▁pikoti ▁bake	▁hainoah ▁ha ▁mashpi ▁mena ▁pikoti ▁bake
▁ha ▁pikota ▁iki ▁ha	▁ha ▁pikota ▁iki ▁ha
▁hainoa ▁ma ▁keyo ▁pikota ▁tsama ta	▁hainoa ▁ma ▁keyo ▁pikota ▁tsama ta
▁tsama ketian ▁riki ▁ake ▁ma ▁keyo ▁pikota ▁ha ▁ainbo ▁ha	▁tsama ketian ▁riki ▁ake ▁ma ▁keyo ▁pikota ▁ha ▁ainbo ▁ha
▁me hpe ke ka ▁me hpe kanke ▁ainbo ▁cho roa ▁hakonma ▁ma	▁me hpe ke ka ▁me hpe kanke ▁ainbo ▁cho roa ▁hakonma ▁ma
▁hatianka ▁aka ▁iki	▁hatianka ▁aka ▁iki
▁hainka ▁hara ▁ha	▁hainka ▁hara ▁ha
▁nasabain ▁nasabain ▁hainki ▁ka	▁nasabain ▁nasabain ▁hainki ▁ka
▁ainki ▁aka ▁iki ▁nato	▁ainki ▁aka ▁iki ▁nato
▁rome ▁rome ka	▁rome ▁rome ka
▁nato ribi ▁rome ▁rome ▁rome ▁mo ka	▁nato ribi ▁rome ▁rome ▁rome ▁mo ka
▁ha ▁riki ▁apakeke	▁ha ▁riki ▁apakeke
▁hatibi ▁akan pake kinka	▁hatibi ▁akan pake kinka
▁moa ▁haribi ▁ara kan ▁awen ▁ina ▁awen ▁h ina ▁ka	▁moa ▁haribi ▁ara kan ▁awen ▁ina ▁awen ▁h ina ▁ka
▁ken sho shoko	▁ken sho shoko
▁a baon ki ▁raon ke	▁a baon ki ▁raon ke
▁raon pake ki ka	▁raon pake ki ka
▁ain honka ▁aka ▁iki ▁moa ▁s ene ahon	▁ain honka ▁aka ▁iki ▁moa ▁s ene ahon
▁ma ▁hatibi ▁awen ▁yora ▁raon honka ▁ma	▁ma ▁hatibi ▁awen ▁yora ▁raon honka ▁ma
▁tana tanwe ▁hain ▁chan ka ▁hiwi ▁chan ka ▁hiwi ▁tawa ▁maho	▁tana tanwe ▁hain ▁chan ka ▁hiwi ▁chan ka ▁hiwi ▁tawa ▁maho
▁aka honki ▁ha ▁nasabain in ▁cha	▁aka honki ▁ha ▁nasabain in ▁cha
▁hatian ki ▁pei ▁cho si kaini	▁hatian ki ▁pei ▁cho si kaini
▁pei ▁cho shi kaini ▁ya	▁pei ▁cho shi kaini ▁ya
▁askahon ▁mi ▁oni ▁bakebo ▁retena honwe	▁askahon ▁mi ▁oni ▁bakebo ▁retena honwe
▁hainki ▁witsa ▁aribake ▁tanaribitanwe	▁hainki ▁witsa ▁aribake ▁tanaribitanwe
▁ha ▁aka honki ▁a ▁tawa ▁maho ▁cha	▁ha ▁aka honki ▁a ▁tawa ▁maho ▁cha
▁haribi ▁pei ▁cho shi kaini ▁pei ▁pei	▁haribi ▁pei ▁cho shi kaini ▁pei ▁pei
▁pei ▁otsikaini	▁pei ▁otsikaini
▁otsikaini ka	▁otsikaini ka
▁hainoa ▁pis ká ▁a f an in ga	▁hainoa ▁pis ká ▁a f an in ga
▁haribi ▁tana tanwe ▁cha	▁haribi ▁tana tanwe ▁cha
▁hawe ▁yama ▁mo kama	▁hawe ▁yama ▁mo kama
▁hainoa ▁witsa ribika ▁tanaribitanwe ▁cha	▁hainoa ▁witsa ribika ▁tanaribitanwe ▁cha
▁ya mai	▁ya mai
▁kamoh ▁shu sh u pe	▁kamoh ▁shu sh u pe
▁aka ▁iki ▁ka ▁a ▁tanaribitanwe ▁ha ▁cha ▁ha ▁pei ▁cho si kaini	▁aka ▁iki ▁ka ▁a ▁tanaribitanwe ▁ha ▁cha ▁ha ▁pei ▁cho si kaini
▁pei ▁otsikaini ▁otsikaini	▁pei ▁otsikaini ▁otsikaini
▁haribi ▁ka ▁iki ▁ha	▁haribi ▁ka ▁iki ▁ha
▁apakeke ▁apakeke ▁ha	▁apakeke ▁apakeke ▁ha
▁hainka	▁hainka
▁hainoa ribika ▁ha ▁pero ka ▁pero ▁pero ▁pero ▁pero ▁mai tiki	▁hainoa ribika ▁ha ▁pero ka ▁pero ▁pero ▁pero ▁pero ▁mai tiki
▁nasabain ki ▁mapo ke	▁nasabain ki ▁mapo ke
▁hatibi ▁mapo ke	▁hatibi ▁mapo ke
▁lo ro ▁bawa ▁pei ▁bawa ▁pei ▁habo ▁ake	▁lo ro ▁bawa ▁pei ▁bawa ▁pei ▁habo ▁ake
▁ono ▁ono ▁sebitanwe	▁ono ▁ono ▁sebitanwe
▁nasabain ki ▁haton ▁ha ▁sebi a	▁nasabain ki ▁haton ▁ha ▁sebi a
▁aska ▁oni ▁oni ▁bakebo ▁retenahanwe	▁aska ▁oni ▁oni ▁bakebo ▁retenahanwe
▁ha ▁oni ▁bakebo ▁retenahanwe	▁ha ▁oni ▁bakebo ▁retenahanwe
▁a ▁witsa ribi ▁ainoa ▁riki ▁ono ▁sebitanwe ▁a ▁se biribi	▁a ▁witsa ribi ▁ainoa ▁riki ▁ono ▁sebitanwe ▁a ▁se biribi
▁ainka ▁mera tima	▁ainka ▁mera tima
▁mera tima ▁askara ▁ihon ▁oni ▁bakebo ▁retenahanwe	▁mera tima ▁askara ▁ihon ▁oni ▁bakebo ▁retenahanwe
▁aribake ▁ha	▁aribake ▁ha
▁ha ▁kamoh ▁ha ▁akai ▁ha ▁ono ▁sebitanwe ▁ha ▁akai	▁ha ▁kamoh ▁ha ▁akai ▁ha ▁ono ▁sebitanwe ▁ha ▁akai
▁haribi ka ▁aka	▁haribi ka ▁aka
▁hatian ▁ha ▁ani ▁ka ▁sebi ▁aka ▁ha	▁hatian ▁ha ▁ani ▁ka ▁sebi ▁aka ▁ha
▁oin tibires ▁oin tibires	▁oin tibires ▁oin tibires
▁iponyamai ▁iponyamai	▁iponyamai ▁iponyamai
▁iponyamai ka	▁iponyamai ka
▁miara ▁oni ▁bakebo ▁mia ▁p ina hani ▁iki ▁miara ▁p ina hani	▁miara ▁oni ▁bakebo ▁mia ▁p ina hani ▁iki ▁miara ▁p ina hani
▁ha ▁ipon ▁oni ▁bakebo ▁retena han kin ▁ake	▁ha ▁ipon ▁oni ▁bakebo ▁retena han kin ▁ake
